Folder,File,tcoffee,tcoffeeSP,tcoffeeTC,clustalw,clustalwSP,clustalwTC,muscle,muscleSP,muscleTC
RV30, BBS30009.msf, tcoffee, 0.697, 0.370, clustalw, 0.760, 0.430, muscle, 0.792, 0.350
RV30, BBS30010.msf, tcoffee, 0.920, 0.440, clustalw, 0.898, 0.460, muscle, 0.936, 0.520
RV30, BBS30011.msf, tcoffee, 0.949, 0.700, clustalw, 0.905, 0.640, muscle, 0.918, 0.690
RV30, BBS30012.msf, tcoffee, 0.760, 0.410, clustalw, 0.685, 0.300, muscle, 0.711, 0.400
RV30, BBS30013.msf, tcoffee, 0.757, 0.380, clustalw, 0.656, 0.280, muscle, 0.670, 0.230
RV30, BBS30014.msf, tcoffee, 0.891, 0.560, clustalw, 0.764, 0.270, muscle, 0.889, 0.470
RV30, BBS30015.msf, tcoffee, 0.867, 0.730, clustalw, 0.662, 0.420, muscle, 0.717, 0.510
RV30, BBS30016.msf, tcoffee, 0.718, 0.500, clustalw, 0.750, 0.580, muscle, 0.786, 0.230
RV30, BBS30017.msf, tcoffee, 0.751, 0.450, clustalw, 0.470, 0.070, muscle, 0.643, 0.380
RV30, BBS30018.msf, tcoffee, 0.929, 0.480, clustalw, 0.890, 0.450, muscle, 0.928, 0.530
RV30, BBS30019.msf, tcoffee, 0.816, 0.440, clustalw, 0.623, 0.270, muscle, 0.727, 0.340
RV30, BBS30020.msf, tcoffee, 0.726, 0.300, clustalw, 0.624, 0.000, muscle, 0.730, 0.460
RV30, BBS30021.msf, tcoffee, 0.668, 0.220, clustalw, 0.566, 0.110, muscle, 0.622, 0.050
RV30, BBS30022.msf, tcoffee, 0.836, 0.370, clustalw, 0.785, 0.240, muscle, 0.801, 0.210
RV30, BBS30023.msf, tcoffee, 0.810, 0.360, clustalw, 0.739, 0.230, muscle, 0.791, 0.310
RV30, BBS30024.msf, tcoffee, 0.836, 0.400, clustalw, 0.712, 0.200, muscle, 0.831, 0.250
RV30, BBS30025.msf, tcoffee, 0.797, 0.240, clustalw, 0.713, 0.340, muscle, 0.742, 0.170
RV30, BBS30026.msf, tcoffee, 0.786, 0.360, clustalw, 0.614, 0.200, muscle, 0.765, 0.290
RV30, BBS30027.msf, tcoffee, 0.699, 0.410, clustalw, 0.584, 0.290, muscle, 0.609, 0.360
RV30, BBS30028.msf, tcoffee, 0.865, 0.150, clustalw, 0.857, 0.150, muscle, 0.848, 0.170
RV30, BBS30029.msf, tcoffee, 0.851, 0.570, clustalw, 0.814, 0.580, muscle, 0.827, 0.510
RV30, BBS30030.msf, tcoffee, 0.929, 0.700, clustalw, 0.855, 0.520, muscle, 0.936, 0.680
