Folder,File,tcoffee,tcoffeeSP,tcoffeeTC,clustalw,clustalwSP,clustalwTC,muscle,muscleSP,muscleTC
RV30, BB30001.msf, tcoffee, 0.864, 0.400, clustalw, 0.712, 0.270, muscle, 0.823, 0.310
RV30, BB30002.msf, tcoffee, 0.760, 0.270, clustalw, 0.527, 0.000, muscle, 0.748, 0.290
RV30, BB30003.msf, tcoffee, 0.589, 0.030, clustalw, 0.468, 0.030, muscle, 0.540, 0.010
RV30, BB30004.msf, tcoffee, 0.853, 0.570, clustalw, 0.829, 0.510, muscle, 0.863, 0.580
RV30, BB30005.msf, tcoffee, 0.817, 0.320, clustalw, 0.731, 0.350, muscle, 0.826, 0.360
RV30, BB30006.msf, tcoffee, 0.664, 0.330, clustalw, 0.610, 0.280, muscle, 0.504, 0.000
RV30, BB30007.msf, tcoffee, 0.777, 0.440, clustalw, 0.547, 0.000, muscle, 0.714, 0.410
RV30, BB30008.msf, tcoffee, 0.681, 0.230, clustalw, 0.629, 0.230, muscle, 0.644, 0.240
RV30, BB30009.msf, tcoffee, 0.484, 0.000, clustalw, 0.448, 0.000, muscle, 0.529, 0.000
RV30, BB30010.msf, tcoffee, 0.907, 0.440, clustalw, 0.889, 0.300, muscle, 0.918, 0.500
RV30, BB30011.msf, tcoffee, 0.941, 0.650, clustalw, 0.925, 0.650, muscle, 0.921, 0.650
RV30, BB30012.msf, tcoffee, 0.754, 0.410, clustalw, 0.576, 0.250, muscle, 0.711, 0.390
RV30, BB30013.msf, tcoffee, 0.676, 0.300, clustalw, 0.507, 0.100, muscle, 0.643, 0.180
RV30, BB30014.msf, tcoffee, 0.875, 0.430, clustalw, 0.770, 0.330, muscle, 0.888, 0.440
RV30, BB30015.msf, tcoffee, 0.673, 0.380, clustalw, 0.463, 0.000, muscle, 0.648, 0.320
RV30, BB30016.msf, tcoffee, 0.389, 0.000, clustalw, 0.396, 0.000, muscle, 0.375, 0.000
RV30, BB30017.msf, tcoffee, 0.710, 0.380, clustalw, 0.516, 0.250, muscle, 0.636, 0.350
RV30, BB30018.msf, tcoffee, 0.908, 0.300, clustalw, 0.811, 0.010, muscle, 0.815, 0.010
RV30, BB30019.msf, tcoffee, 0.701, 0.320, clustalw, 0.579, 0.260, muscle, 0.628, 0.240
RV30, BB30020.msf, tcoffee, 0.586, 0.230, clustalw, 0.548, 0.000, muscle, 0.614, 0.350
RV30, BB30021.msf, tcoffee, 0.634, 0.090, clustalw, 0.498, 0.070, muscle, 0.603, 0.080
RV30, BB30022.msf, tcoffee, 0.826, 0.340, clustalw, 0.765, 0.180, muscle, 0.801, 0.130
RV30, BB30023.msf, tcoffee, 0.785, 0.310, clustalw, 0.580, 0.040, muscle, 0.723, 0.030
RV30, BB30024.msf, tcoffee, 0.759, 0.270, clustalw, 0.590, 0.140, muscle, 0.764, 0.260
RV30, BB30025.msf, tcoffee, 0.687, 0.100, clustalw, 0.687, 0.000, muscle, 0.740, 0.120
RV30, BB30026.msf, tcoffee, 0.797, 0.390, clustalw, 0.564, 0.070, muscle, 0.752, 0.300
RV30, BB30027.msf, tcoffee, 0.642, 0.020, clustalw, 0.609, 0.120, muscle, 0.652, 0.200
RV30, BB30028.msf, tcoffee, 0.853, 0.110, clustalw, 0.854, 0.180, muscle, 0.848, 0.170
RV30, BB30029.msf, tcoffee, 0.840, 0.510, clustalw, 0.771, 0.460, muscle, 0.818, 0.460
RV30, BB30030.msf, tcoffee, 0.920, 0.670, clustalw, 0.763, 0.000, muscle, 0.839, 0.000
RV30, BBS30001.msf, tcoffee, 0.866, 0.470, clustalw, 0.789, 0.290, muscle, 0.857, 0.330
RV30, BBS30002.msf, tcoffee, 0.796, 0.320, clustalw, 0.724, 0.190, muscle, 0.774, 0.330
RV30, BBS30003.msf, tcoffee, 0.647, 0.130, clustalw, 0.480, 0.030, muscle, 0.555, 0.060
RV30, BBS30004.msf, tcoffee, 0.905, 0.610, clustalw, 0.834, 0.510, muscle, 0.923, 0.620
RV30, BBS30005.msf, tcoffee, 0.931, 0.560, clustalw, 0.892, 0.530, muscle, 0.916, 0.450
RV30, BBS30006.msf, tcoffee, 0.757, 0.470, clustalw, 0.786, 0.500, muscle, 0.751, 0.460
RV30, BBS30007.msf, tcoffee, 0.869, 0.620, clustalw, 0.810, 0.510, muscle, 0.866, 0.600
RV30, BBS30008.msf, tcoffee, 0.730, 0.360, clustalw, 0.647, 0.200, muscle, 0.640, 0.200
