Folder,File,tcoffee,tcoffeeSP,tcoffeeTC,clustalw,clustalwSP,clustalwTC,muscle,muscleSP,muscleTC
RV40, BB40001.msf, tcoffee, 0.944, 0.910, clustalw, 0.824, 0.040, muscle, 0.813, 0.030
RV40, BB40002.msf, tcoffee, 0.812, 0.000, clustalw, 0.289, 0.000, muscle, 0.472, 0.000
RV40, BB40003.msf, tcoffee, 0.920, 0.780, clustalw, 0.830, 0.650, muscle, 0.895, 0.750
RV40, BB40004.msf, tcoffee, 0.920, 0.520, clustalw, 0.876, 0.440, muscle, 0.917, 0.480
RV40, BB40005.msf, tcoffee, 0.889, 0.690, clustalw, 0.887, 0.730, muscle, 0.889, 0.700
RV40, BB40006.msf, tcoffee, 0.758, 0.350, clustalw, 0.708, 0.300, muscle, 0.751, 0.270
RV40, BB40007.msf, tcoffee, 0.739, 0.350, clustalw, 0.681, 0.210, muscle, 0.729, 0.340
RV40, BB40008.msf, tcoffee, 0.870, 0.640, clustalw, 0.803, 0.530, muscle, 0.836, 0.530
RV40, BB40009.msf, tcoffee, 0.734, 0.400, clustalw, 0.746, 0.430, muscle, 0.718, 0.420
RV40, BB40010.msf, tcoffee, 0.851, 0.540, clustalw, 0.817, 0.530, muscle, 0.820, 0.530
RV40, BB40011.msf, tcoffee, 0.741, 0.000, clustalw, 0.440, 0.000, muscle, 0.676, 0.000
RV40, BB40012.msf, tcoffee, 0.869, 0.590, clustalw, 0.792, 0.450, muscle, 0.839, 0.550
RV40, BB40013.msf, tcoffee, 0.502, 0.000, clustalw, 0.737, 0.250, muscle, 0.718, 0.000
RV40, BB40014.msf, tcoffee, 0.745, 0.440, clustalw, 0.729, 0.420, muscle, 0.724, 0.410
RV40, BB40015.msf, tcoffee, 0.932, 0.000, clustalw, 0.346, 0.000, muscle, 0.921, 0.000
RV40, BB40016.msf, tcoffee, 0.856, 0.000, clustalw, 0.808, 0.000, muscle, 0.827, 0.010
RV40, BB40017.msf, tcoffee, 0.856, 0.000, clustalw, 0.808, 0.000, muscle, 0.827, 0.010
RV40, BB40018.msf, tcoffee, 0.838, 0.650, clustalw, 0.849, 0.620, muscle, 0.838, 0.550
RV40, BB40019.msf, tcoffee, 0.864, 0.510, clustalw, 0.776, 0.330, muscle, 0.893, 0.730
RV40, BB40020.msf, tcoffee, 0.876, 0.690, clustalw, 0.845, 0.660, muscle, 0.890, 0.690
RV40, BB40021.msf, tcoffee, 0.921, 0.650, clustalw, 0.857, 0.480, muscle, 0.886, 0.600
RV40, BB40022.msf, tcoffee, 0.857, 0.560, clustalw, 0.736, 0.080, muscle, 0.853, 0.460
RV40, BB40023.msf, tcoffee, 0.765, 0.000, clustalw, 0.693, 0.000, muscle, 0.716, 0.000
RV40, BB40024.msf, tcoffee, 0.589, 0.060, clustalw, 0.496, 0.000, muscle, 0.514, 0.000
RV40, BB40025.msf, tcoffee, 0.893, 0.690, clustalw, 0.852, 0.660, muscle, 0.869, 0.690
RV40, BB40026.msf, tcoffee, 0.673, 0.260, clustalw, 0.561, 0.000, muscle, 0.607, 0.160
RV40, BB40027.msf, tcoffee, 0.592, 0.000, clustalw, 0.487, 0.000, muscle, 0.632, 0.000
RV40, BB40028.msf, tcoffee, 0.906, 0.640, clustalw, 0.864, 0.640, muscle, 0.902, 0.620
RV40, BB40029.msf, tcoffee, 0.841, 0.380, clustalw, 0.778, 0.010, muscle, 0.834, 0.390
RV40, BB40030.msf, tcoffee, 0.835, 0.620, clustalw, 0.793, 0.550, muscle, 0.840, 0.620
RV40, BB40031.msf, tcoffee, 0.647, 0.990, clustalw, 0.620, 0.980, muscle, 0.634, 0.960
RV40, BB40032.msf, tcoffee, 0.903, 0.830, clustalw, 0.912, 0.850, muscle, 0.891, 0.770
RV40, BB40033.msf, tcoffee, 0.842, 0.640, clustalw, 0.532, 0.000, muscle, 0.799, 0.560
RV40, BB40034.msf, tcoffee, 0.686, 0.300, clustalw, 0.578, 0.260, muscle, 0.627, 0.240
RV40, BB40035.msf, tcoffee, 0.746, 0.500, clustalw, 0.618, 0.330, muscle, 0.503, 0.180
RV40, BB40036.msf, tcoffee, 0.940, 0.650, clustalw, 0.920, 0.600, muscle, 0.933, 0.620
RV40, BB40037.msf, tcoffee, 0.440, 0.000, clustalw, 0.351, 0.000, muscle, 0.416, 0.000
RV40, BB40038.msf, tcoffee, 0.763, 0.410, clustalw, 0.555, 0.000, muscle, 0.674, 0.000
RV40, BB40039.msf, tcoffee, 0.883, 0.540, clustalw, 0.849, 0.520, muscle, 0.821, 0.340
RV40, BB40040.msf, tcoffee, 0.906, 0.400, clustalw, 0.778, 0.440, muscle, 0.886, 0.550
RV40, BB40041.msf, tcoffee, 0.767, 0.000, clustalw, 0.221, 0.000, muscle, 0.666, 0.000
RV40, BB40042.msf, tcoffee, 0.829, 0.380, clustalw, 0.733, 0.000, muscle, 0.771, 0.000
RV40, BB40043.msf, tcoffee, 0.701, 0.430, clustalw, 0.655, 0.330, muscle, 0.658, 0.300
RV40, BB40044.msf, tcoffee, 0.860, 0.260, clustalw, 0.818, 0.450, muscle, 0.825, 0.380
RV40, BB40045.msf, tcoffee, 0.683, 0.450, clustalw, 0.380, 0.000, muscle, 0.429, 0.000
RV40, BB40046.msf, tcoffee, 0.500, 0.000, clustalw, 0.416, 0.000, muscle, 0.435, 0.000
RV40, BB40047.msf, tcoffee, 0.922, 0.540, clustalw, 0.803, 0.340, muscle, 0.894, 0.450
